"","Alloc","Alloc1","Alloc2","Alloc3","Alloc4","Alloc5","Alloc6","Alloc7","Alloc8","Alloc9","Alloc10","Alloc11","Alloc12","Alloc13","Alloc14","Alloc15","Alloc16","Alloc17","Alloc18","Alloc19","Alloc20","Alloc21","Alloc22","Alloc23","Alloc24","Alloc25","Alloc26","Alloc27","Alloc28","Alloc29","Alloc30","Alloc31","Alloc32","Alloc33","Alloc34","Alloc35","Alloc36","Alloc37","Alloc38","Alloc39","Alloc40","Alloc41","Alloc42","Alloc43","Alloc44","Alloc45","Alloc46","Alloc47","Alloc48","Alloc49"
"39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","18","18","18","18","18","4","4","2","2","2","1"
"40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","1","1","1","1","1","1","1","1"
"41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","41","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","1"
"42","42","42","42","42","42","42","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","1"
"43","43","43","43","43","43","43","43","43","43","43","43","43","43","43","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","39","18","18","18","18","18","4","4","2","2","2","1"
"44","44","44","44","44","44","44","44","44","44","44","44","44","44","44","44","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","4","4","2","2","2","1"
"45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","45","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","11","11","7","7","1","1","1"
"47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","47","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","1","1"
"48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","48","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","1","1","1"
"50","50","50","50","50","50","50","50","32","32","32","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","12","12","12","12","12","12","12","12","12","12","11","11","7","7","1","1","1"
"51","51","51","51","51","51","51","51","51","51","51","51","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","1"
"52","52","52","52","52","52","52","52","52","32","32","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","12","12","12","12","12","12","12","12","12","12","11","11","7","7","1","1","1"
"53","53","53","53","53","53","53","53","53","53","26","26","26","26","26","26","26","26","26","26","26","26","26","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","11","11","7","7","1","1","1"
"54","54","54","54","52","52","52","52","52","32","32","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","28","12","12","12","12","12","12","12","12","12","12","11","11","7","7","1","1","1"
"55","55","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","26","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","11","11","7","7","1","1","1"
"56","56","56","56","56","56","56","56","56","56","56","56","56","30","30","30","30","30","30","30","30","30","30","30","30","30","30","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","1","1"
