id,name,REGION
160,TOH GUAN,WEST REGION
161,BRADDELL,CENTRAL REGION
162,BIDADARI,CENTRAL REGION
163,ALJUNIED,CENTRAL REGION
164,TYERSALL,CENTRAL REGION
165,MOULMEIN,CENTRAL REGION
166,LIU FANG,WEST REGION
167,FRANKEL,EAST REGION
168,CLEMENTI NORTH,WEST REGION
169,LEEDON PARK,CENTRAL REGION
170,GEYLANG EAST,CENTRAL REGION
171,TEBAN GARDENS,WEST REGION
172,BOON LAY PLACE,WEST REGION
173,BUKIT BATOK EAST,WEST REGION
174,BUKIT BATOK WEST,WEST REGION
175,BUKIT BATOK CENTRAL,WEST REGION
176,UPPER PAYA LEBAR,NORTH-EAST REGION
177,HONG KAH,WEST REGION
178,TUAS PROMENADE,WEST REGION
179,AIRPORT ROAD,EAST REGION
180,SERANGOON CENTRAL,NORTH-EAST REGION
181,BISHAN EAST,CENTRAL REGION
182,TAMPINES WEST,EAST REGION
183,BRICKWORKS,WEST REGION
184,DEFU INDUSTRIAL PARK,NORTH-EAST REGION
185,GUILIN,WEST REGION
186,MARYMOUNT,CENTRAL REGION
187,WENYA,WEST REGION
188,NATURE RESERVE,WEST REGION
189,TAMPINES EAST,EAST REGION
190,TAI SENG,NORTH-EAST REGION
191,TENGEH,WEST REGION
192,YUHUA WEST,WEST REGION
193,YUNNAN,WEST REGION
194,LORONG CHUAN,NORTH-EAST REGION
195,DUNEARN,CENTRAL REGION
196,SUNSET WAY,WEST REGION
197,MACPHERSON,CENTRAL REGION
198,KIM KEAT,CENTRAL REGION
199,BEDOK NORTH,EAST REGION
200,TOA PAYOH CENTRAL,CENTRAL REGION
201,PAYA LEBAR NORTH,EAST REGION
202,HOUGANG EAST,NORTH-EAST REGION
203,LORONG HALUS,NORTH-EAST REGION
204,KANGKAR,NORTH-EAST REGION
205,SEMBAWANG HILLS,NORTH-EAST REGION
206,JELEBU,WEST REGION
207,KEAT HONG,WEST REGION
208,HOUGANG WEST,NORTH-EAST REGION
209,PAYA LEBAR WEST,EAST REGION
210,BANGKIT,WEST REGION
211,ANAK BUKIT,CENTRAL REGION
212,SWISS CLUB,CENTRAL REGION
213,XILIN,EAST REGION
214,SIMEI,EAST REGION
215,PENG SIANG,WEST REGION
216,PASIR RIS WEST,EAST REGION
217,YIO CHU KANG WEST,NORTH-EAST REGION
218,TRAFALGAR,NORTH-EAST REGION
219,TECK WHYE,WEST REGION
220,CHOA CHU KANG CENTRAL,WEST REGION
221,CHANGI WEST,EAST REGION
222,FAJAR,WEST REGION
223,SENJA,WEST REGION
224,SAUJANA,WEST REGION
225,SELETAR HILLS,NORTH-EAST REGION
226,COMPASSVALE,NORTH-EAST REGION
227,YIO CHU KANG EAST,NORTH-EAST REGION
228,YIO CHU KANG,NORTH-EAST REGION
229,LOYANG WEST,EAST REGION
230,TAGORE,NORTH-EAST REGION
231,LORONG AH SOO,NORTH-EAST REGION
232,FLORA DRIVE,EAST REGION
233,HILLVIEW,WEST REGION
235,PAYA LEBAR EAST,EAST REGION
236,UPPER THOMSON,CENTRAL REGION
237,HONG KAH NORTH,WEST REGION
238,TOWNSVILLE,NORTH-EAST REGION
